Name;Sex;Equipment;Age;AgeClass;Division;Bodyweight;Weight_Class;Squat1;Squat2;Squat3;Best_Squat;Bench1;Bench2;Bench3;Best_Bench;Deadlift1;Deadlift2;Deadlift3;Best_Deadlift;Total_Kg;Place;Dots;Country
Klaudia Witek;F;Raw;22;20-23;Juniors 20-23;55.8;56;0;0;0;0;0;0;0;0;110;115;130;130;130;1;151.04;Poland
Marcin Rybczylski;M;Unlimited;29;24-34;Open;78.4;82.5;0;0;0;0;130;160;-170;160;0;0;0;0;160;2;111.67;Poland
Micha³ Miko³ajek;M;Raw;33;24-34;Open;78.6;82.5;0;0;0;0;132.5;140;-145;140;0;0;0;0;140;5;97.56;Poland
Micha³ Miko³ajek;M;Raw;33;24-34;MPF;78.6;82.5;0;0;0;0;132.5;140;-145;140;0;0;0;0;140;2;97.56;Poland
Marcin Jankowski;M;Raw;37;35-39;Open;140;140;0;0;0;0;185;190;200;200;0;0;0;0;200;3;109.60;Poland
Marcin Jankowski;M;Raw;37;35-39;MPF;140;140;0;0;0;0;185;190;200;200;0;0;0;0;200;1;109.60;Poland
£ukasz Ska³a;M;Raw;35;35-39;Open;89.7;90;0;0;0;0;162.5;170;175;175;0;0;0;0;175;8;113.35;Poland
Grzegorz Kopaniarz;M;Raw;32;24-34;Open;93.7;100;0;0;0;0;-190;200;205;205;0;0;0;0;205;2;129.96;Poland
Grzegorz Kopaniarz;M;Raw;32;24-34;MPF;93.7;100;0;0;0;0;-190;200;205;205;0;0;0;0;205;2;129.96;Poland
Aleksander Kita;M;Raw;38;35-39;Open;97.1;100;0;0;0;0;-195;200;202.5;202.5;0;0;0;0;202.5;3;126.28;Poland
Aleksander Kita;M;Raw;38;35-39;MPF;97.1;100;0;0;0;0;-195;200;202.5;202.5;0;0;0;0;202.5;3;126.28;Poland
Krzysztof Golendzinowski;M;Raw;49;45-49;Masters 40-49;106.4;110;0;0;0;0;162.5;170;175;175;0;0;0;0;175;3;104.99;Poland
Maciek Kilewski;M;Raw;41;40-44;Masters 40-49;125.9;140;0;0;0;0;192.5;200;-212.5;200;0;0;0;0;200;1;113.10;Poland
Marlena Filipska;F;Wraps;32;24-34;Open;55.5;56;110;115;-122.5;115;50;55;-57.5;55;115;122.5;127.5;127.5;297.5;1;346.90;Poland
Dariusz Korniak;M;Wraps;29;24-34;Open;107.6;110;250;260;267.5;267.5;155;-162.5;162.5;162.5;270;280;-287.5;280;710;5;424.07;Poland
Dariusz Korniak;M;Wraps;29;24-34;MPF;107.6;110;250;260;267.5;267.5;155;-162.5;162.5;162.5;270;280;-287.5;280;710;1;424.07;Poland
Marcin Bednarski;M;Wraps;31;24-34;MPF;88.8;90;185;-195;200;200;125;130;-135;130;215;225;-235;225;555;3;361.32;Poland
Marcin Bednarski;M;Wraps;31;24-34;Open;88.8;90;185;-195;200;200;125;130;-135;130;215;225;-235;225;555;6;361.32;Poland
Tomasz Wygoda;M;Wraps;30;24-34;MPF;88.7;90;200;-207.5;-207.5;200;165;172.5;177.5;177.5;-250;257.5;265;265;642.5;1;418.53;Poland
Tomasz Wygoda;M;Wraps;30;24-34;Open;88.7;90;200;-207.5;-207.5;200;165;172.5;177.5;177.5;-250;257.5;265;265;642.5;3;418.53;Poland
Dominik Szczebak;M;Wraps;23;20-23;Juniors 20-23;59.3;60;147.5;155;160;160;92.5;95;-100;95;172.5;182.5;-190;182.5;437.5;1;372.86;Poland
Jakub Makosz;M;Wraps;18;18-19;Teen 18-19;65.7;67.5;145;155;-162.5;155;100;107.5;-112.5;107.5;170;180;200;200;462.5;1;363.61;Poland
Krystian Tryba;M;Raw;26;24-34;Open;96.1;100;0;0;0;0;145;152.5;-160;152.5;0;0;0;0;152.5;6;95.55;Poland
Amelia Fudalej;F;Wraps;15;13-15;Teen 13-15;56;56;77.5;85;95;95;32.5;37.5;-40;37.5;67.5;80;90;90;222.5;1;257.90;Poland
Kacper Konwerski;M;Wraps;19;18-19;Teen 18-19;93.8;100;-200;-200;200;200;110;120;125;125;210;220;230;230;555;1;351.68;Poland
Nikodem Hapka;M;Raw;18;18-19;Teen 18-19;85;90;0;0;0;0;0;0;0;0;170;182.5;190;190;190;1;126.59;Poland
Szymon Zmora;M;Raw;34;24-34;Open;87.9;90;0;0;0;0;190;200;-207.5;200;0;0;0;0;200;3;130.89;Poland
Piotr Mertens;M;Wraps;32;24-34;Open;90;90;245;-255;-260;245;0;0;0;0;0;0;0;0;245;1;158.42;Poland
Klaudia Arendt-Wolœniak;F;Raw;29;24-34;Open;50.6;52;0;0;0;0;0;0;0;0;-80;80;-92.5;80;80;2;99.40;Poland
Jakub Borkowski;M;Wraps;25;24-34;Open;97.1;100;210;220;-225;220;-155;155;160;160;250;260;270;270;650;4;405.33;Poland
Marcin Zolistki;M;Wraps;16;16-17;Teen 16-17;76.7;82.5;95;105;110;110;0;0;0;0;0;0;0;0;110;1;77.81;Poland
Marcin Zolistki;M;Raw;16;16-17;Teen 16-17;76.7;82.5;0;0;0;0;90;95;100;100;0;0;0;0;100;1;70.74;Poland
Marcin Zolistki;M;Raw;16;16-17;Teen 16-17;76.7;82.5;0;0;0;0;0;0;0;0;150;162.5;-165;162.5;162.5;1;114.95;Poland
Miko³aj Woch;M;Wraps;16;16-17;Teen 16-17;83.9;90;210;-230;230;230;125;132.5;-140;132.5;220;237.5;250;250;612.5;1;411.01;Poland
Justyna Stasiowska;F;Wraps;32;24-34;Open;58.9;60;-105;-105;105;105;37.5;40;42.5;42.5;105;110;112.5;112.5;260;1;291.63;Poland
Lukasz Kaim;M;Raw;33;24-34;Open;103.3;110;0;0;0;0;180;187.5;-205;187.5;0;0;0;0;187.5;4;113.84;Poland
Krystian Fija³kowski;M;Unlimited;28;24-34;Open;105.6;110;0;0;0;0;260;280;-300;280;0;0;0;0;280;2;168.48;Poland
Marcin Czaja;M;Raw;45;45-49;Masters 40-49;130;140;0;0;0;0;165;175;185;185;0;0;0;0;185;2;103.59;Poland
Patryk Wójcik;M;Raw;20;20-23;Juniors 20-23;67.5;67.5;0;0;0;0;-120;120;125;125;0;0;0;0;125;1;96.34;Poland
£ukasz Jablo³oñski;M;Wraps;21;20-23;Juniors 20-23;64.2;67.5;170;177.5;182.5;182.5;105;-110;110;110;200;210;-215;210;502.5;1;402.00;Poland
Adrian Radoliñski;M;Wraps;22;20-23;Juniors 20-23;98.3;100;220;230;-240;230;140;150;155;155;250;260;-275;260;645;1;400.00;Poland
Tomasz Szymaniuk;M;Wraps;22;20-23;Open;89.8;90;130;140;-150;140;-117.5;117.5;-122.5;117.5;150;157.5;-165;157.5;415;7;268.64;Poland
Robert £owczy;M;Single-ply;20;20-23;Juniors 20-23;105;110;0;0;0;0;0;0;0;0;260;-270;270;270;270;1;162.84;Poland
Konrad Nowakowski;M;Single-ply;17;16-17;Teen 16-17;70.8;75;0;0;0;0;0;0;0;0;190;205;215;215;215;1;160.24;Poland
Dominik £akoma;M;Wraps;22;20-23;Juniors 20-23;73.8;75;170;177.5;182.5;182.5;-112.5;117.5;122.5;122.5;205;-212.5;212.5;212.5;517.5;1;375.15;Poland
